# Babylon PER-20 legacy adopter census fixture v1
# provenance|postgres_image|postgis/postgis:17-3.5@sha256:77e89c11c4779c394ebeeaac1099dafb77b728abc8cd45dcaf6c4695503a0c37
# provenance|postgres_version|17.5 (Debian 17.5-1.pgdg110+1)
# provenance|postgres_package|postgresql-17=17.5-1.pgdg110+1
# provenance|postgis_package|postgresql-17-postgis-3=3.5.2+dfsg-1.pgdg110+1
# provenance|pgvector_package|postgresql-17-pgvector=0.8.5-1.pgdg11+1
# provenance|pgvector_deb_sha256|ff0e10806fd87268e2dfac6b2d0aaa5fc2c24341188e7c24f3db7fd112c90f87
# provenance|pgvector_deb_url|https://apt-archive.postgresql.org/pub/repos/apt/pool/main/p/pgvector/postgresql-17-pgvector_0.8.5-1.pgdg11+1_amd64.deb
# provenance|source_git_commit|a95ddd1b24b1157eef95b9b1885219c67486a160
# provenance|startup_options|default_transaction_read_only=on|statement_timeout=5000ms|lock_timeout=5000ms|idle_in_transaction_session_timeout=5000ms|quote_all_identifiers=off|search_path=pg_catalog|jit=off|event_triggers=off
# provenance|POSTGRES_SCHEMA_DDL|chunks=112|digest=0902471053ab7a22cdaf0340978712772990e87a63aaaa1636608894fa52590b
# provenance|migrations-0010-0044|chunks=35|digest=4abe69ddc25569d5dff1941b4fbe2973df5cbd70a9bca4c92b9fe26f51dd45db
# provenance|BABYLON_META_DDL|chunks=6|digest=edb77a84d35f30eab061ead7620ea2907554ee9231c92b6acfe11fc530f669d8
# provenance|migrations-0010-0043|chunks=34|digest=7c77114a3b7053bed1dafae8aea77a894ef2034504306d23745d217252bd6711
# provenance|trace-view-v2-migrations-0020-0023|chunks=4|digest=1d0a4f5cbd8f5cba3b59d48a25950fc4874923ed962400d8374d34edb31fd7b2
# format|kind|schema|name|sha256
database|pg_database|current_database|7a3482897360cf4563231e0c5a90f0823e64c5aebb12f0963e639002fdbb832a
domain|public|currency|dd54ee3ed7dd4cf96ab8b82b8af1f1b5c621b4aac01a549db38306499d173001
domain|public|fips2|9c76214389b6a327bbd74936f5558a40cb8b96e8058b1d21c35915a3d1d0e2eb
domain|public|fips5|1e109110c400b0fbce7883705c0a7e9b95a26837a5613e2b047a399f8ab67d68
domain|public|h3index|b9d0c49c166afa9010fd41b612b74965f846b2bc037f0428dc1faa5cd7b9595f
domain|public|labor_hours|a362f59e6e3a0f67a3aa71531dddbf774d39d3a3504780b79c0362bdd9882615
domain|public|probability|22efaa0fcd33822a132ccacbcf416f71e2983b08572de7c17aa4c804062a9bb0
domain|public|ratio|a798e49973ea5ef4c3a3891fd3d5297ce2ca5c01063b97a9871d48a12a0a54a3
extension|pg_extension|pg_stat_statements|086de786a36ba35c49cdc536a7ff50bd21f87bf53fa6142447ab866395580cea
extension|pg_extension|plpgsql|ab8951c20c9150e24e256110af7c7c68366c7d87272fda4c0e6427871c03bcc0
extension|pg_extension|postgis|4c40cbd681336968cccd477859cf14b389738ad61b2e554d7dda471311ed5380
extension|pg_extension|uuid-ossp|73833fbe0f1b319f9c36c783f05c171cc2a6e3a56f1de5b50ccba111b3f9c4fd
extension|pg_extension|vector|0b15efd4d66091aaa33dcd9a949dc56ae214679b69ceb3b33668a63736faa598
partitioned_table|public|boundary_flow_register|1b54342f1eda2a1a3a5042fff798820a5e4ef7c075ce02b86ce833ad4584787f
partitioned_table|public|conservation_audit_log|30ef0e3b7795606b15a35a2f91bcc40dc60be80f0a000d362bc17c5737ff00e2
partitioned_table|public|dynamic_consciousness_state|2e93944ff480e2cd177149c44cded5fe4dd488c0d39fa0be80ed1612a2d0f836
partitioned_table|public|dynamic_demographics_state|6b7df94d800e19996f3ddcd0554b9e403ff51a84ea0cf4fa9404f2caaa27f31b
partitioned_table|public|dynamic_employment_state|db30d18856ab5beb50dfc5b19787176688f5fca3346462f794ca6ba768dd0b25
