year,region_name,region_type,flow_direction,transfer_type,value_usd_billions,value_pct_gdp,signed_value,gvc_share_of_total,source_table,source_priority,region_granularity,edge_id
1995,North America,CORE,INFLOW,GVC,31.685,0.4,31.685,0.4479901593450874,Ricci_Table_6.2,1,1,CORE_INFLOW_GVC
1995,North America,CORE,INFLOW,TOTAL,70.727,0.9,70.727,0.4479901593450874,Ricci_Table_6.2,1,1,CORE_INFLOW_TOTAL
1995,India,PERIPHERY,OUTFLOW,GVC,32.78,9.36,-32.78,0.44799169069713407,Ricci_Table_6.6,1,1,PERIPHERY_OUTFLOW_GVC
1995,India,PERIPHERY,OUTFLOW,TOTAL,73.171,20.9,-73.171,0.44799169069713407,Ricci_Table_6.6,1,1,PERIPHERY_OUTFLOW_TOTAL
1995,China,SEMI_PERIPHERY,OUTFLOW,GVC,56.302,7.75,-56.302,0.4480003819405764,Ricci_Table_6.4,1,1,SEMI_PERIPHERY_OUTFLOW_GVC
1995,China,SEMI_PERIPHERY,OUTFLOW,TOTAL,125.674,17.3,-125.674,0.4480003819405764,Ricci_Table_6.4,1,1,SEMI_PERIPHERY_OUTFLOW_TOTAL
1995,EMU,CORE,INFLOW,GVC,125.0,1.7,125.0,0.22893772893772893,Source_1,2,1,CORE_INFLOW_GVC
1995,Western Europe,CORE,INFLOW,GVC,38.0,1.7,38.0,0.18719211822660098,Source_1,2,1,CORE_INFLOW_GVC
1995,EMU,CORE,INFLOW,TOTAL,546.0,7.3,546.0,0.22893772893772893,Source_1,2,1,CORE_INFLOW_TOTAL
1995,Western Europe,CORE,INFLOW,TOTAL,203.0,8.9,203.0,0.18719211822660098,Source_1,2,1,CORE_INFLOW_TOTAL
1995,South Asia,PERIPHERY,OUTFLOW,GVC,20.0,4.0,-20.0,0.20833333333333334,Source_1,2,1,PERIPHERY_OUTFLOW_GVC
1995,Southeast Asia,PERIPHERY,OUTFLOW,GVC,53.0,7.4,-53.0,0.23766816143497757,Source_1,2,1,PERIPHERY_OUTFLOW_GVC
1995,Sub-Saharan Africa,PERIPHERY,OUTFLOW,GVC,8.5,2.45,-8.5,0.34288019362646227,Source_2,2,1,PERIPHERY_OUTFLOW_GVC
1995,South Asia,PERIPHERY,OUTFLOW,TOTAL,96.0,18.7,-96.0,0.20833333333333334,Source_1,2,1,PERIPHERY_OUTFLOW_TOTAL
1995,Southeast Asia,PERIPHERY,OUTFLOW,TOTAL,223.0,31.3,-223.0,0.23766816143497757,Source_1,2,1,PERIPHERY_OUTFLOW_TOTAL
1995,Sub-Saharan Africa,PERIPHERY,OUTFLOW,TOTAL,24.79,7.15,-24.79,0.34288019362646227,Source_2,2,1,PERIPHERY_OUTFLOW_TOTAL
1995,Russia and CSI,SEMI_PERIPHERY,OUTFLOW,GVC,47.0,12.0,-47.0,0.2883435582822086,Source_1,2,1,SEMI_PERIPHERY_OUTFLOW_GVC
1995,Russia and CSI,SEMI_PERIPHERY,OUTFLOW,TOTAL,163.0,42.2,-163.0,0.2883435582822086,Source_1,2,1,SEMI_PERIPHERY_OUTFLOW_TOTAL
1995,Advanced Economies,CORE,INFLOW,TOTAL,1400.0,4.1,1400.0,0.0,Source_3,3,2,CORE_INFLOW_TOTAL
1995,Emerging and Developing Economies,SEMI_PERIPHERY,OUTFLOW,TOTAL,1400.0,6.0,-1400.0,0.0,Source_3,3,2,SEMI_PERIPHERY_OUTFLOW_TOTAL
2000,North America,CORE,INFLOW,GVC,59.058,0.55,59.058,0.43299558631611357,Ricci_Table_6.2,1,1,CORE_INFLOW_GVC
2000,North America,CORE,INFLOW,TOTAL,136.394,1.28,136.394,0.43299558631611357,Ricci_Table_6.2,1,1,CORE_INFLOW_TOTAL
2000,India,PERIPHERY,OUTFLOW,GVC,50.793,11.33,-50.793,0.43299575469285456,Ricci_Table_6.6,1,1,PERIPHERY_OUTFLOW_GVC
2000,India,PERIPHERY,OUTFLOW,TOTAL,117.306,26.18,-117.306,0.43299575469285456,Ricci_Table_6.6,1,1,PERIPHERY_OUTFLOW_TOTAL
2000,China,SEMI_PERIPHERY,OUTFLOW,GVC,51.168,4.27,-51.168,0.4329959719730562,Ricci_Table_6.4,1,1,SEMI_PERIPHERY_OUTFLOW_GVC
2000,China,SEMI_PERIPHERY,OUTFLOW,TOTAL,118.172,9.86,-118.172,0.4329959719730562,Ricci_Table_6.4,1,1,SEMI_PERIPHERY_OUTFLOW_TOTAL
2000,EMU,CORE,INFLOW,GVC,101.0,1.5,101.0,0.26790450928381965,Source_1,2,1,CORE_INFLOW_GVC
2000,EMU,CORE,INFLOW,TOTAL,377.0,5.8,377.0,0.26790450928381965,Source_1,2,1,CORE_INFLOW_TOTAL
2000,South Asia,PERIPHERY,OUTFLOW,GVC,28.0,4.4,-28.0,0.2204724409448819,Source_1,2,1,PERIPHERY_OUTFLOW_GVC
