year,compensation_millions_usd,value_added_millions_usd,labor_share
1997,4713213,8258299,0.570724
1998,5075702,8727890,0.581550
1999,5409940,9284422,0.582690
2000,5854636,9884028,0.592333
2001,6046342,10223806,0.591398
2002,6143376,10545489,0.582560
2003,6362302,11051421,0.575700
2004,6729310,11774844,0.571499
2005,7077726,12567501,0.563177
2006,7491262,13304104,0.563079
2007,7889370,13956206,0.565295
2008,8068678,14247903,0.566306
2009,7767190,14006532,0.554541
2010,7932974,14539855,0.545602
2011,8234016,15055231,0.546921
2012,8575373,15681130,0.546859
2013,8843634,16271921,0.543490
2014,9259664,16965383,0.545798
2015,9709533,17633971,0.550615
2016,9977091,18138285,0.550057
2017,10434978,18916538,0.551633
2018,10967690,19894232,0.551300
2019,11458474,20747664,0.552278
2020,11605742,20663822,0.561645
2021,12569560,22861685,0.549809
2022,13462215,25082297,0.536722
2023,14228378,26837240,0.530173
2024,15049121,28287688,0.532003
