county_fips,cz_id,cz_name
01001,11101,"Montgomery city, AL"
01003,11001,"Mobile city, AL"
01005,10301,"Eufaula city, AL"
01007,10801,"Tuscaloosa city, AL"
01009,10700,"Birmingham city, AL"
01011,09800,"Auburn city, AL"
01013,11101,"Montgomery city, AL"
01015,09600,"Anniston city, AL"
01017,09600,"Anniston city, AL"
01019,06600,"Rome city, GA"
01021,10700,"Birmingham city, AL"
01023,10802,"Demopolis city, AL"
01025,11001,"Mobile city, AL"
01027,09500,"Talladega city, AL"
01029,09600,"Anniston city, AL"
01031,10302,"Dothan city, AL"
01033,06200,"Florence city, AL"
01035,11002,"Atmore city, AL"
01037,09500,"Talladega city, AL"
01039,11102,"Troy city, AL"
01041,11102,"Troy city, AL"
01043,10700,"Birmingham city, AL"
01045,10302,"Dothan city, AL"
01047,10801,"Tuscaloosa city, AL"
01049,06100,"Gadsden city, AL"
01051,11101,"Montgomery city, AL"
01053,11002,"Atmore city, AL"
01055,06100,"Gadsden city, AL"
01057,10600,"Birmingham city, AL"
01059,06200,"Florence city, AL"
01061,10302,"Dothan city, AL"
01063,10802,"Demopolis city, AL"
01065,10801,"Tuscaloosa city, AL"
01067,10302,"Dothan city, AL"
01069,10302,"Dothan city, AL"
01071,06100,"Gadsden city, AL"
01073,10700,"Birmingham city, AL"
01075,10600,"Birmingham city, AL"
01077,06200,"Florence city, AL"
01079,06000,"Huntsville city, AL"
01081,09800,"Auburn city, AL"
01083,06000,"Huntsville city, AL"
01085,11101,"Montgomery city, AL"
01087,09800,"Auburn city, AL"
01089,06000,"Huntsville city, AL"
01091,10802,"Demopolis city, AL"
01093,10600,"Birmingham city, AL"
01095,06100,"Gadsden city, AL"
01097,11001,"Mobile city, AL"
01099,11002,"Atmore city, AL"
01101,11101,"Montgomery city, AL"
01103,06000,"Huntsville city, AL"
01105,10801,"Tuscaloosa city, AL"
01107,10501,"Columbus city, MS"
01109,11102,"Troy city, AL"
01111,09600,"Anniston city, AL"
01113,09701,"Columbus city (remainder), GA"
01115,10700,"Birmingham city, AL"
01117,10700,"Birmingham city, AL"
01119,10802,"Demopolis city, AL"
01121,09500,"Talladega city, AL"
01123,09500,"Talladega city, AL"
01125,10801,"Tuscaloosa city, AL"
01127,10600,"Birmingham city, AL"
01129,11001,"Mobile city, AL"
01131,11001,"Mobile city, AL"
01133,10600,"Birmingham city, AL"
02013,34101,"Sand Point city, AK"
02016,34114,"Adak Station CDP, AK"
02020,34102,"Anchorage city, AK"
02050,34112,"Bethel city, AK"
02060,34104,"King Salmon CDP, AK"
02070,34107,"Dillingham city, AK"
02090,34115,"Fairbanks city, AK"
02100,34109,"Juneau city, AK"
02110,34109,"Juneau city, AK"
02122,34102,"Anchorage city, AK"
02130,34111,"Ketchikan city, AK"
02150,34108,"Kodiak city, AK"
02164,34107,"Dillingham city, AK"
02170,34102,"Anchorage city, AK"
02180,34106,"Nome city, AK"
02185,34113,"Barrow city, AK"
02188,34105,"Kotzebue city, AK"
02201,34111,"Ketchikan city, AK"
02220,34110,"Sitka city, AK"
02231,34109,"Juneau city, AK"
02240,34115,"Fairbanks city, AK"
02261,34103,"Anchorage city, AK"
02270,34112,"Bethel city, AK"
02280,34110,"Sitka city, AK"
02290,34115,"Fairbanks city, AK"
04001,35500,"Gallup city, NM"
04003,35100,"Tucson city, AZ"
04005,35401,"Flagstaff city, AZ"
04007,35001,"Phoenix city, AZ"
04009,35002,"Safford city, AZ"
04011,35002,"Safford city, AZ"
04012,38300,"Los Angeles city, CA"
04013,35001,"Phoenix city, AZ"
04015,37901,"Las Vegas city, NV"
04017,35500,"Gallup city, NM"
04019,35100,"Tucson city, AZ"
04021,35001,"Phoenix city, AZ"
04023,35100,"Tucson city, AZ"
