county_fips,state_po,county_name,rep_votes,total_votes,rep_vote_share
01001,AL,Autauga County,20484,28281,0.724303
01003,AL,Baldwin County,95798,122249,0.783630
01005,AL,Barbour County,5606,9855,0.568848
01007,AL,Bibb County,7572,9257,0.817976
01009,AL,Blount County,25354,28163,0.900259
01011,AL,Bullock County,1101,4111,0.267818
01013,AL,Butler County,5172,8480,0.609906
01015,AL,Calhoun County,34912,48653,0.717571
01017,AL,Chambers County,8711,14245,0.611513
01019,AL,Cherokee County,11358,13006,0.873289
01021,AL,Chilton County,16920,19763,0.856145
01023,AL,Choctaw County,4103,6656,0.616436
01025,AL,Clarke County,6965,11958,0.582455
01027,AL,Clay County,5734,6767,0.847347
01029,AL,Cleburne County,6988,7651,0.913345
01031,AL,Coffee County,17495,22319,0.783861
01033,AL,Colbert County,19714,27160,0.725847
01035,AL,Conecuh County,3423,6051,0.565692
01037,AL,Coosa County,3758,5268,0.713364
01039,AL,Covington County,14677,17095,0.858555
01041,AL,Crenshaw County,5000,6486,0.770891
01043,AL,Cullman County,38704,43146,0.897047
01045,AL,Dale County,14476,19139,0.756361
01047,AL,Dallas County,5190,15547,0.333826
01049,AL,DeKalb County,25633,29660,0.864228
01051,AL,Elmore County,31374,41624,0.753748
01053,AL,Escambia County,10884,14957,0.727686
01055,AL,Etowah County,35653,46137,0.772764
01057,AL,Fayette County,7158,8369,0.855299
01059,AL,Franklin County,10417,12097,0.861123
01061,AL,Geneva County,10929,12401,0.881300
01063,AL,Greene County,885,4039,0.219114
01065,AL,Hale County,3369,7305,0.461191
01067,AL,Henry County,6989,9320,0.749893
01069,AL,Houston County,32469,44349,0.732125
01071,AL,Jackson County,20073,23556,0.852140
01073,AL,Jefferson County,131123,298704,0.438973
01075,AL,Lamar County,6033,6890,0.875617
01077,AL,Lauderdale County,32708,43637,0.749547
01079,AL,Lawrence County,13024,16122,0.807840
01081,AL,Lee County,46020,73127,0.629316
01083,AL,Limestone County,37887,53332,0.710399
01085,AL,Lowndes County,1758,5655,0.310875
01087,AL,Macon County,1682,7834,0.214705
01089,AL,Madison County,105430,197617,0.533507
01091,AL,Marengo County,4995,9682,0.515906
01093,AL,Marion County,12245,13543,0.904157
01095,AL,Marshall County,34434,40288,0.854696
01097,AL,Mobile County,100759,175164,0.575227
01099,AL,Monroe County,6007,9815,0.612022
01101,AL,Montgomery County,30477,89798,0.339395
01103,AL,Morgan County,40449,53543,0.755449
01105,AL,Perry County,1269,4465,0.284211
01107,AL,Pickens County,5465,8912,0.613218
01109,AL,Pike County,8224,13216,0.622276
01111,AL,Randolph County,9102,11091,0.820665
01113,AL,Russell County,10078,20718,0.486437
01115,AL,St. Clair County,35501,43526,0.815627
01117,AL,Shelby County,79666,114698,0.694572
01119,AL,Sumter County,1542,5307,0.290560
01121,AL,Talladega County,22100,33250,0.664662
01123,AL,Tallapoosa County,14884,20023,0.743345
01125,AL,Tuscaloosa County,50724,85256,0.594961
01127,AL,Walker County,25464,29786,0.854898
01129,AL,Washington County,6534,8441,0.774079
01131,AL,Wilcox County,1793,5263,0.340680
01133,AL,Winston County,10191,11149,0.914073
04001,AZ,Apache County,12795,32685,0.391464
04003,AZ,Cochise County,35936,59501,0.603956
04005,AZ,Coconino County,27576,70993,0.388433
04007,AZ,Gila County,18901,27979,0.675542
04009,AZ,Graham County,11177,15327,0.729236
04011,AZ,Greenlee County,2308,3341,0.690811
04012,AZ,La Paz County,5470,7700,0.710390
04013,AZ,Maricopa County,1051531,2061574,0.510062
04015,AZ,Mohave County,85683,111355,0.769458
04017,AZ,Navajo County,29480,51386,0.573697
04019,AZ,Pima County,214669,520317,0.412573
04021,AZ,Pinal County,126926,211595,0.599853
04023,AZ,Santa Cruz County,7699,19428,0.396284
04025,AZ,Yavapai County,99346,150862,0.658522
04027,AZ,Yuma County,40745,68910,0.591278
05001,AR,Arkansas County,3951,5547,0.712277
05003,AR,Ashley County,5145,7030,0.731863
05005,AR,Baxter County,16253,20954,0.775651
05007,AR,Benton County,79907,128595,0.621385
05009,AR,Boone County,13968,17112,0.816269
05011,AR,Bradley County,2213,3209,0.689623
05013,AR,Calhoun County,1674,2092,0.800191
05015,AR,Carroll County,7470,11538,0.647426
05017,AR,Chicot County,1658,3490,0.475072
05019,AR,Clark County,4526,7657,0.591093
05021,AR,Clay County,3968,4967,0.798873
05023,AR,Cleburne County,10595,12739,0.831698
05025,AR,Cleveland County,2804,3374,0.831061
05027,AR,Columbia County,5367,7940,0.675945
05029,AR,Conway County,5893,8541,0.689966
05031,AR,Craighead County,25152,37242,0.675367
05033,AR,Crawford County,18615,23834,0.781027
05035,AR,Crittenden County,7028,14681,0.478714
05037,AR,Cross County,4753,6534,0.727426
05039,AR,Dallas County,1482,2324,0.637694
05041,AR,Desha County,1805,3505,0.514979
05043,AR,Drew County,4203,6365,0.660330
05045,AR,Faulkner County,35357,54465,0.649169
05047,AR,Franklin County,5582,6971,0.800746
05049,AR,Fulton County,4040,5043,0.801110
05051,AR,Garland County,28359,42327,0.669998
05053,AR,Grant County,6755,8078,0.836222
05055,AR,Greene County,12617,15820,0.797535
05057,AR,Hempstead County,4193,6089,0.688619
05059,AR,Hot Spring County,9226,12283,0.751119
05061,AR,Howard County,3246,4473,0.725687
05063,AR,Independence County,11023,14011,0.786739
05065,AR,Izard County,4854,5925,0.819241
