fips_engine,fips_acs2019,relation,vintage_note,recoverable
02063,02261,SPLIT_UNRESOLVED,"Chugach Census Area AK, effective 2019 split of Valdez-Cordova Census Area (02261). 02261 carries full 2010-2019 fact_census_poverty rows (verified), but that data covers the combined pre-split territory and cannot be disaggregated between Chugach and Copper River (02066) without the deleted census extractor (data-catalog.yaml:1096) — attributing it to both successors would double-count the shared population under G7's injectivity guard, so this row is disclosed (informational fips_acs2019) but not recoverable.",false
02066,02261,SPLIT_UNRESOLVED,"Copper River Census Area AK, effective 2019 split of Valdez-Cordova Census Area (02261). See 02063's note — same shared, non-disaggregable source; not independently recoverable.",false
02158,,DECLARED_HOLE,"Kusilvak Census Area AK, renamed from Wade Hampton Census Area (02270) 2015. Verified: zero fact_census_poverty rows at any time_id under 02158, and 02270 carries rows only 2010-2014 (stops before the pinned 2019 vintage) — the identical administrative pattern as Pine Ridge (46102/46113). Deviates from the plan's '13 recoverable' framing, which grouped this with the AK 02063/02066 split; reclassified here after direct DB verification (see module docstring). Never imputed from 02270's stale rows (G5's Pine-Ridge logic applies identically).",false
02261,,RESOLVER_ONLY,"Valdez-Cordova Census Area AK. Admitted by scopes.py's _load_national_fips resolver (present in dim_county, state<60, not *999) but absent from the engine's us_county_territories.json territory list (superseded there by its 2019 split successors 02063/02066). Carries full 2019 rows itself (it is 02063/02066's shared source, see those rows) — this row documents the resolver/engine universe-size delta, not an ACS-recovery gap.",false
02270,,RESOLVER_ONLY,"Wade Hampton Census Area AK. Admitted by the resolver's dim_county universe but absent from the engine's territory list (superseded by its 2015 rename successor 02158 Kusilvak). Carries fact_census_poverty rows only 2010-2014 (itself the reason 02158 is DECLARED_HOLE, not recoverable) — documents the universe-size delta.",false
09110,,REORGANIZATION_UNRESOLVED,"Capitol Planning Region CT, 2022 county-equivalent replacement. Draws territory from Hartford, Tolland, and Windham Counties (verified many-to-many correspondence, CT Data Collaborative crosswalk) — no single former county is this region's exclusive predecessor, so no fips_acs2019 target is assigned (fabricating one would misattribute population with false precision).",false
09120,,REORGANIZATION_UNRESOLVED,"Greater Bridgeport Planning Region CT, 2022 county-equivalent replacement. Draws territory from Fairfield County plus adjoining planning-region splits (many-to-many; see 09110's note) — no exclusive predecessor.",false
09130,,REORGANIZATION_UNRESOLVED,"Lower Connecticut River Valley Planning Region CT, 2022 county-equivalent replacement. Draws territory from Middlesex and New London Counties (many-to-many; see 09110's note) — no exclusive predecessor.",false
09140,,REORGANIZATION_UNRESOLVED,"Naugatuck Valley Planning Region CT, 2022 county-equivalent replacement. Draws territory from Hartford, Litchfield, and New Haven Counties (many-to-many; see 09110's note) — no exclusive predecessor.",false
09150,,REORGANIZATION_UNRESOLVED,"Northeastern Connecticut Planning Region CT, 2022 county-equivalent replacement. Draws territory from Windham and New London Counties (many-to-many; see 09110's note) — no exclusive predecessor.",false
09160,,REORGANIZATION_UNRESOLVED,"Northwest Hills Planning Region CT, 2022 county-equivalent replacement. Draws territory from Hartford and Litchfield Counties (many-to-many; see 09110's note) — no exclusive predecessor.",false
09170,,REORGANIZATION_UNRESOLVED,"South Central Connecticut Planning Region CT, 2022 county-equivalent replacement. Draws territory from New Haven County plus adjoining planning-region splits (many-to-many; see 09110's note) — no exclusive predecessor.",false
09180,,REORGANIZATION_UNRESOLVED,"Southeastern Connecticut Planning Region CT, 2022 county-equivalent replacement. Draws territory from New London and Windham Counties (many-to-many; see 09110's note) — no exclusive predecessor.",false
09190,,REORGANIZATION_UNRESOLVED,"Western Connecticut Planning Region CT, 2022 county-equivalent replacement. Draws territory from Fairfield and Litchfield Counties (many-to-many; see 09110's note) — no exclusive predecessor.",false
46102,,DECLARED_HOLE,"Oglala Lakota County SD (Pine Ridge), renamed from Shannon County (46113) 2015. Verified: zero fact_census_poverty rows at any time_id under 46102, and 46113 carries rows only 2010-2014 (stops before the pinned 2019 vintage). Permanent declared hole until a source exists (proposal §9 standing cost); never imputed from 46113 (G5).",false
46113,,RESOLVER_ONLY,Shannon County SD. Admitted by the resolver's dim_county universe but absent from the engine's territory list (superseded by its 2015 rename successor 46102 Oglala Lakota / Pine Ridge). Carries fact_census_poverty rows only 2010-2014 (itself the reason 46102 is DECLARED_HOLE) — documents the universe-size delta.,false
51515,51019,RENAME_RECOVERABLE,"Bedford city VA reverted to town status and was annexed wholly into Bedford County (51019) effective 2013 — a clean, exclusive merge (no other county's territory involved). Verified: 51019 carries full 2019 fact_census_poverty rows.",true
