pole,universe_variant,counties_present,counties_absent,sum_u,sum_b,rate,p_bar,q_bar,sum_mass_vs_settler_norm,sum_mass_vs_demonstrated_floor,ratio_bribe_to_deprivation,overlap_upper_bound,overlap_bound_share,vintage_time_id,notes
B,artifact_3153,2847,306,39547797,9115129,0.230483862,0.096175584,0.211409118,5311596.544117411,-754364.101135076,,,,23,"individual pole row (B); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
B,scopes_3156,2848,308,39547818,9115129,0.230483740,0.096174299,0.211408192,5311645.309711098,-754396.281774296,,,,23,"individual pole row (B); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
B,unrestricted_3218,2924,294,39926065,9290552,0.232693906,0.096223732,0.219599198,5448717.035342122,-522820.127523734,,,,23,"individual pole row (B); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
C,artifact_3153,2506,647,2595204,651107,0.250888562,0.096175584,0.211409118,401511.740784011,-102457.210263448,,,,23,"individual pole row (C); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
C,scopes_3156,2507,649,2596481,651384,0.250871853,0.096174299,0.211408192,401669.258831599,-102466.645091788,,,,23,"individual pole row (C); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
C,unrestricted_3218,2555,663,2602652,654408,0.251438917,0.096223732,0.219599198,403971.112356884,-82867.706876596,,,,23,"individual pole row (C); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
H,artifact_3153,3138,15,192671043,18530250,0.096175584,0.096175584,0.211409118,-0.000000001,22202165.343946829,,,,23,"individual pole row (H); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
H,scopes_3156,3139,17,192677390,18530613,0.096174299,0.096174299,0.211408192,-0.000000001,22202965.743467823,,,,23,"individual pole row (H); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
H,unrestricted_3218,3210,8,192640097,18536549,0.096223732,0.096223732,0.219599198,-0.000000001,23767061.896386094,,,,23,"individual pole row (H); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
I,artifact_3153,3002,151,57296584,11256199,0.196454975,0.096175584,0.211409118,5745666.596508522,856821.311398524,,,,23,"individual pole row (I); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
I,scopes_3156,3003,153,57297046,11256202,0.196453444,0.096174299,0.211408192,5745698.741318750,856862.926866084,,,,23,"individual pole row (I); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
I,unrestricted_3218,3080,138,60542998,12689506,0.209594939,0.096223732,0.219599198,6863832.806771168,605687.834400330,,,,23,"individual pole row (I); rate is this pole's own ratio-of-sums (F5's q_pole), not the pooled B+C+I q̄. ratio_bribe_to_deprivation and the overlap bound are cross-pole quantities -- see the POOLED row (F1/F2)."
POOLED,artifact_3153,8355,1104,99439585,21022435,0.211409118,0.096175584,0.211409118,11458774.881409943,22202165.343946829,1.937568857,19767938,0.198793448,23,"B+C+I pooled (F1, the ruled partition, OQ1). ratio_bribe_to_deprivation = ΣΩ (H settler-pole bribe mass) / ΣE (B+C+I deprivation mass). overlap_upper_bound = I-(A-H), disclosed and never netted out of any pole sum (G8/F2); overlap_bound_share is against sum_u (Σu_o, the B+C+I universe)."
POOLED,scopes_3156,8358,1110,99441345,21022715,0.211408192,0.096174299,0.211408192,11459013.309861448,22202965.743467823,1.937598390,19768173,0.198792293,23,"B+C+I pooled (F1, the ruled partition, OQ1). ratio_bribe_to_deprivation = ΣΩ (H settler-pole bribe mass) / ΣE (B+C+I deprivation mass). overlap_upper_bound = I-(A-H), disclosed and never netted out of any pole sum (G8/F2); overlap_bound_share is against sum_u (Σu_o, the B+C+I universe)."
POOLED,unrestricted_3218,8559,1095,103071715,22634466,0.219599198,0.096223732,0.219599198,12716520.954470174,23767061.896386094,1.868990896,20877584,0.202553960,23,"B+C+I pooled (F1, the ruled partition, OQ1). ratio_bribe_to_deprivation = ΣΩ (H settler-pole bribe mass) / ΣE (B+C+I deprivation mass). overlap_upper_bound = I-(A-H), disclosed and never netted out of any pole sum (G8/F2); overlap_bound_share is against sum_u (Σu_o, the B+C+I universe)."
